,Gene,SeqLen,Count,Count/Kb,FPKM
0,YNR074C,1137,1974.0,1736.148,159.582
1,YJR089W,2865,744.0,259.686,23.87
2,YML078W,549,1194.0,2174.863,199.908
3,YKR071C,1047,2019.0,1928.3670000000002,177.25099999999998
4,YGR098C,4893,412.0,84.20200000000001,7.74
5,YIL065C,468,605.0,1292.735,118.825
6,YOR197W,1299,2650.0,2040.031,187.514
7,YDL003W,1701,1392.0,818.342,75.22
8,YNL123W,2994,1202.0,401.47,36.902
9,YJL208C,990,383.0,386.869,35.56
10,YHR179W,1203,10191.0,8471.322,778.6619999999999
11,YPL171C,1203,44.0,36.575,3.362
12,YBL030C,957,1780.0,1859.979,170.965
13,YNL055C,852,2982.0,3500.0,321.711
14,YPL123C,1305,819.0,627.586,57.68600000000001
15,YIL016W,480,564.0,1175.0,108.00299999999999
16,YJR009C,999,38930.778,38969.748,3581.9990000000003
17,YGR192C,999,152394.158,152546.704,14021.702
18,YOR297C,579,310.0,535.406,49.213
19,YMR074C,438,1696.0,3872.1459999999997,355.918
20,YDR326C,4317,564.0,130.64600000000002,12.009
21,YBL055C,1257,1894.0,1506.7620000000002,138.498
22,YIL097W,1551,370.0,238.55599999999998,21.927
23,YMR095C,675,291.0,431.111,39.626999999999995
24,YLR150W,822,8533.0,10380.779,954.175
25,YML120C,1542,536.0,347.601,31.951
26,YHL007C,2820,764.0,270.922,24.901999999999997
27,YPR048W,1872,874.0,466.88,42.913999999999994
28,YDR113C,1122,195.0,173.797,15.975
29,YLL001W,2274,914.0,401.935,36.945
30,YJL112W,2145,866.0,403.73,37.11
31,YOR043W,1461,689.0,471.595,43.348
32,YKR036C,1932,414.0,214.28599999999997,19.697
33,YOL149W,696,640.0,919.54,84.522
34,YNL118C,2913,1720.0,590.457,54.273
35,YJL124C,519,865.0,1666.6670000000001,153.196
36,YER112W,564,760.0,1347.5179999999998,123.86
37,YER110C,3342,1779.0,532.316,48.928999999999995
38,YDL042C,1689,117.0,69.27199999999999,6.367000000000001
39,YPL116W,2094,484.0,231.137,21.245
40,YHR155W,3687,732.0,198.535,18.249000000000002
41,YOL002C,954,1192.0,1249.476,114.84899999999999
42,YKL056C,504,16462.0,32662.697999999997,3002.272
43,YNL098C,969,4332.0,4470.588,410.925
44,YDL126C,2508,19191.0,7651.914000000001,703.3439999999999
45,YJL194W,1542,143.0,92.73700000000001,8.524
46,YNL186W,2379,584.0,245.481,22.564
47,YER019W,1434,665.0,463.73800000000006,42.626000000000005
48,YFL010C,636,1287.134,2023.796,186.02200000000002
49,YNL305C,894,1328.0,1485.4589999999998,136.54
50,YGL160W,1713,1224.0,714.5360000000001,65.678
