,Gene,SeqLen,Count,Count/Kb,FPKM
0,YNR074C,1137,1620.0,1424.8020000000001,131.249
1,YJR089W,2865,366.0,127.749,11.767999999999999
2,YML078W,549,990.0,1803.279,166.114
3,YKR071C,1047,2066.0,1973.257,181.77200000000002
4,YGR098C,4893,414.0,84.611,7.794
5,YIL065C,468,332.0,709.4019999999999,65.348
6,YOR197W,1299,924.0,711.316,65.525
7,YDL003W,1701,1740.0,1022.928,94.23
8,YNL123W,2994,1401.0,467.936,43.105
9,YJL208C,990,886.0,894.949,82.441
10,YHR179W,1203,2395.0,1990.856,183.393
11,YPL171C,1203,10.0,8.312999999999999,0.7659999999999999
12,YBL030C,957,5034.0,5260.188,484.556
13,YNL055C,852,1427.0,1674.8829999999998,154.286
14,YPL123C,1305,236.0,180.843,16.659000000000002
15,YIL016W,480,568.0,1183.333,109.006
16,YJR009C,999,26798.963,26825.789,2471.129
17,YGR192C,999,148426.307,148574.88199999998,13686.372
18,YOR297C,579,261.0,450.777,41.525
19,YMR074C,438,1531.0,3495.434,321.991
20,YDR326C,4317,574.0,132.963,12.248
21,YBL055C,1257,949.0,754.972,69.546
22,YIL097W,1551,163.0,105.09299999999999,9.681000000000001
23,YMR095C,675,378.0,560.0,51.586000000000006
24,YLR150W,822,16881.0,20536.496,1891.774
25,YML120C,1542,879.0,570.039,52.511
26,YHL007C,2820,614.0,217.73,20.057000000000002
27,YPR048W,1872,914.0,488.24800000000005,44.976000000000006
28,YDR113C,1122,276.0,245.989,22.66
29,YLL001W,2274,634.0,278.80400000000003,25.683000000000003
30,YJL112W,2145,1020.0,475.524,43.803999999999995
31,YOR043W,1461,736.0,503.765,46.406000000000006
32,YKR036C,1932,277.0,143.375,13.207
33,YOL149W,696,666.0,956.8969999999999,88.147
34,YNL118C,2913,1460.0,501.202,46.17
35,YJL124C,519,629.0,1211.9460000000001,111.64200000000001
36,YER112W,564,745.0,1320.922,121.68
37,YER110C,3342,2973.0,889.587,81.947
38,YDL042C,1689,150.0,88.81,8.181000000000001
39,YPL116W,2094,489.0,233.524,21.511999999999997
40,YHR155W,3687,388.0,105.235,9.693999999999999
41,YOL002C,954,985.0,1032.495,95.111
42,YKL056C,504,28626.0,56797.619000000006,5232.064
43,YNL098C,969,3206.0,3308.566,304.777
44,YDL126C,2508,7645.0,3048.2459999999996,280.797
45,YJL194W,1542,175.0,113.48899999999999,10.454
46,YNL186W,2379,842.0,353.93,32.603
47,YER019W,1434,444.0,309.623,28.522
48,YFL010C,636,593.341,932.926,85.939
49,YNL305C,894,479.0,535.794,49.356
50,YGL160W,1713,748.0,436.661,40.224000000000004
