,Gene,SeqLen,Count,Count/Kb,FPKM
0,YAL068C,363,4.06,11.185,1.3519999999999999
1,YAL067W-A,228,1.5,6.579,0.795
2,YAL067C,1782,39.0,21.886,2.645
3,YAL065C,387,150.96,390.077,47.138000000000005
4,YAL064W-B,381,162.359,426.13800000000003,51.496
5,YAL064C-A,381,12.013,31.53,3.81
6,YAL064W,285,4.0,14.035,1.696
7,YAL063C-A,291,7.0,24.055,2.907
8,YAL063C,3969,1210.78,305.059,36.864000000000004
9,YAL062W,1374,46.035,33.504,4.0489999999999995
10,YAL061W,1254,47.0,37.48,4.529
11,YAL060W,1149,3164.0,2753.699,332.76300000000003
12,YAL059W,639,910.0,1424.1,172.09099999999998
13,YAL058W,1509,475.0,314.778,38.038000000000004
14,YAL056W,2643,348.0,131.66899999999998,15.911
15,YAL055W,543,70.0,128.91299999999998,15.578
16,YAL054C,2142,96.0,44.818000000000005,5.416
17,YAL053W,2352,623.0,264.881,32.009
18,YAL051W,3144,228.0,72.51899999999999,8.763
19,YAL049C,741,942.0,1271.255,153.621
20,YAL048C,1989,189.0,95.023,11.482999999999999
21,YAL047C,1869,104.0,55.645,6.724
22,YAL046C,357,236.0,661.064,79.884
23,YAL044W-A,333,206.0,618.619,74.755
24,YAL044C,513,2394.0,4666.667,563.93
25,YAL043C,2358,319.0,135.284,16.348
26,YAL042W,1248,2268.0,1817.308,219.607
27,YAL041W,2565,467.0,182.06599999999997,22.000999999999998
28,YAL040C,1743,219.0,125.645,15.183
29,YAL039C,810,530.0,654.321,79.07
30,YAL038W,1503,26644.0,17727.212,2142.196
31,YAL037C-A,93,111.0,1193.548,144.231
32,YAL037W,804,31.0,38.556999999999995,4.659
33,YAL036C,1110,1887.0,1700.0,205.43200000000002
34,YAL035W,3009,2648.0,880.0269999999999,106.344
35,YAL034W-A,870,118.0,135.632,16.39
36,YAL034C,1242,56.0,45.089,5.449
37,YAL033W,522,400.0,766.284,92.59899999999999
38,YAL032C,1140,193.0,169.298,20.458
39,YAL031C,2283,216.0,94.61200000000001,11.433
40,YAL030W,354,178.0,502.825,60.762
41,YAL029C,4416,870.0,197.011,23.807
42,YAL028W,1587,42.0,26.465,3.198
43,YAL027W,786,175.0,222.646,26.905
44,YAL026C,4068,545.0,133.972,16.19
45,YAL025C,921,1654.0,1795.874,217.017
46,YAL024C,4308,223.0,51.763999999999996,6.255
47,YAL023C,2280,1608.0,705.263,85.226
48,YAL022C,1554,592.0,380.952,46.035
49,YAL021C,2514,393.0,156.325,18.891
50,YAL020C,1002,332.0,331.337,40.04
51,YAL019W,3396,680.0,200.236,24.197
52,YAL018C,978,0.0,0.0,0.0
53,YAL017W,4071,405.0,99.484,12.022
54,YAL016W,1908,1630.0,854.298,103.235
55,YAL015C,1200,408.0,340.0,41.086000000000006
56,YAL014C,768,243.0,316.406,38.235
57,YAL013W,1218,240.0,197.044,23.811
58,YAL012W,1185,1576.0,1329.9579999999999,160.715
59,YAL011W,1878,143.0,76.145,9.202
60,YAL010C,1482,153.0,103.23899999999999,12.475999999999999
61,YAL009W,780,327.0,419.231,50.661
62,YAL008W,597,139.0,232.831,28.136
63,YAL007C,648,1302.0,2009.259,242.803
64,YAL005C,1929,1987.668,1030.414,124.51700000000001
65,YAL003W,621,15260.0,24573.269,2969.488
66,YAL002W,3825,151.0,39.477,4.771
67,YAL001C,3483,557.0,159.92,19.325
68,YAR002W,1620,756.0,466.667,56.393
69,YAR002C-A,660,2084.0,3157.5759999999996,381.56800000000004
70,YAR003W,1281,693.0,540.984,65.374
71,YAR007C,1866,933.0,500.0,60.42100000000001
72,YAR008W,828,338.0,408.213,49.32899999999999
73,YAR009C,3591,21.647,6.028,0.728
74,YAR010C,1323,2.0709999999999997,1.5659999999999998,0.18899999999999997
75,YAR014C,2130,726.0,340.845,41.188
76,YAR015W,921,695.0,754.615,91.189
77,YAR018C,1308,280.0,214.067,25.868000000000002
78,YAR019C,2925,105.0,35.897,4.338
79,YAR020C,168,3.0,17.857,2.158
80,YAR023C,540,44.0,81.48100000000001,9.846
81,YAR027W,708,153.0,216.102,26.114
82,YAR028W,705,226.0,320.567,38.738
83,YAR029W,225,29.0,128.889,15.575
84,YAR031W,897,10.343,11.53,1.393
85,YAR033W,705,148.6,210.78,25.471
86,YAR035W,2064,8.0,3.8760000000000003,0.46799999999999997
87,YAR035C-A,81,0.0,0.0,0.0
88,YAR042W,3567,335.0,93.916,11.349
89,YAR050W,4614,598.14,129.636,15.665
90,YAR064W,300,2.25,7.5,0.9059999999999999
91,YAR066W,612,260.441,425.55800000000005,51.425
92,YAR068W,486,1928.8529999999998,3968.8340000000003,479.603
93,YAR071W,1404,16.444000000000003,11.712,1.415
94,YBL113C,2379,152.93200000000002,64.28399999999999,7.768
95,YBL112C,318,2.772,8.718,1.053
96,YBL111C,2004,2.051,1.023,0.124
97,YBL108C-A,129,0.013999999999999999,0.106,0.013000000000000001
98,YBL107C,591,500.0,846.0239999999999,102.235
99,YBL106C,3033,140.0,46.159,5.577999999999999
100,YBL105C,3456,549.0,158.85399999999998,19.195999999999998
101,YBL104C,3117,378.0,121.27,14.655
102,YBL103C,1461,392.0,268.309,32.423
103,YBL102W,648,411.0,634.259,76.645
104,YBL101C,3354,103.0,30.71,3.7110000000000003
105,YBL100W-C,120,2.0,16.667,2.0140000000000002
106,YBL100W-B,5313,105.073,19.777,2.39
107,YBL100W-A,1317,0.303,0.23,0.027999999999999997
108,YBL099W,1638,3905.0,2384.005,288.08799999999997
109,YBL098W,1383,435.0,314.534,38.009
110,YBL097W,2265,227.0,100.221,12.110999999999999
111,YBL095W,813,379.0,466.175,56.333999999999996
112,YBL093C,663,700.0,1055.807,127.586
113,YBL092W,393,12693.0,32297.71,3902.927
114,YBL091C-A,528,93.0,176.136,21.285
115,YBL091C,1266,1027.0,811.216,98.029
116,YBL090W,534,607.0,1136.704,137.362
117,YBL089W,1380,336.0,243.47799999999998,29.421999999999997
118,YBL088C,8364,225.0,26.901,3.2510000000000003
119,YBL087C,414,13583.201000000001,32809.665,3964.7929999999997
120,YBL086C,1401,288.0,205.567,24.840999999999998
121,YBL085W,2943,598.0,203.19400000000002,24.554000000000002
122,YBL084C,2277,260.0,114.185,13.798
123,YBL082C,1377,339.0,246.187,29.75
124,YBL081W,1107,204.0,184.282,22.269000000000002
125,YBL080C,1626,249.0,153.137,18.505
126,YBL079W,4509,822.0,182.30200000000002,22.03
127,YBL078C,354,111.0,313.559,37.891
128,YBL076C,3219,4987.0,1549.239,187.213
129,YBL075C,1950,199.0,102.051,12.332
130,YBL074C,1068,111.0,103.93299999999999,12.559000000000001
131,YBL072C,603,23560.119,39071.507000000005,4721.488
132,YBL071C-B,99,11.0,111.111,13.427
133,YBL071W-A,249,231.0,927.711,112.10700000000001
134,YBL071C,309,199.0,644.013,77.824
135,YBL069W,1290,253.0,196.12400000000002,23.7
136,YBL068W,981,639.0,651.376,78.714
137,YBL067C,2244,587.0,261.586,31.611
138,YBL066C,3447,143.0,41.485,5.013
139,YBL064C,786,480.0,610.687,73.797
140,YBL063W,3336,173.0,51.858999999999995,6.267
141,YBL061C,2091,953.0,455.76300000000003,55.075
142,YBL060W,2064,359.0,173.93400000000003,21.019000000000002
143,YBL059C-A,330,293.0,887.8789999999999,107.29299999999999
144,YBL059W,582,87.0,149.485,18.064
145,YBL058W,1272,981.0,771.2260000000001,93.197
146,YBL057C,627,949.0,1513.557,182.90200000000002
147,YBL056W,1407,2306.0,1638.9479999999999,198.054
149,YBL054W,1578,315.0,199.62,24.122
150,YBL052C,2496,567.0,227.16299999999998,27.451
151,YBL051C,2007,300.0,149.477,18.063
152,YBL050W,879,1000.0,1137.656,137.477
153,YBL049W,417,51.0,122.302,14.779000000000002
154,YBL048W,312,16.0,51.282,6.197
155,YBL047C,4146,853.0,205.74,24.862
156,YBL046W,1326,470.0,354.449,42.832
157,YBL045C,1374,3050.0,2219.7960000000003,268.245
158,YBL044W,369,9.0,24.39,2.947
159,YBL043W,774,37.0,47.803999999999995,5.777
160,YBL042C,1920,492.0,256.25,30.965999999999998
161,YBL041W,726,1114.0,1534.435,185.425
162,YBL040C,660,1226.0,1857.576,224.47400000000002
163,YBL039W-B,180,37.0,205.55599999999998,24.84
164,YBL039C,1740,3873.0,2225.862,268.978
165,YBL038W,699,750.0,1072.961,129.659
166,YBL037W,3078,275.0,89.344,10.796
167,YBL036C,774,1354.0,1749.354,211.396
168,YBL035C,2118,223.0,105.288,12.722999999999999
169,YBL034C,4542,188.0,41.391000000000005,5.002
170,YBL033C,1038,788.0,759.1519999999999,91.738
171,YBL032W,1146,633.0,552.356,66.748
172,YBL031W,1017,133.0,130.77700000000002,15.802999999999999
174,YBL029C-A,285,107.0,375.439,45.369
175,YBL029W,1131,145.0,128.205,15.493
176,YBL028C,321,506.0,1576.3239999999998,190.486
177,YBL027W,570,19617.648,34416.927,4159.018
178,YBL026W,288,355.0,1232.639,148.955
179,YBL025W,438,135.0,308.219,37.246
180,YBL024W,2055,1663.0,809.2460000000001,97.791
181,YBL023C,2607,548.0,210.203,25.401
182,YBL022C,3402,941.0,276.60200000000003,33.425
183,YBL021C,435,211.0,485.05699999999996,58.615
184,YBL020W,1725,461.0,267.246,32.295
185,YBL019W,1563,252.0,161.22799999999998,19.483
