,Gene,SeqLen,Count,Count/Kb,FPKM
0,YNR074C,1137,0.0,0.0,0.0
1,YJR089W,2865,2.0,0.698,31.375
2,YML078W,549,19.0,34.608000000000004,1555.4679999999998
3,YKR071C,1047,7.0,6.686,300.491
4,YGR098C,4893,0.0,0.0,0.0
5,YIL065C,468,1.0,2.137,96.036
6,YOR197W,1299,1.0,0.77,34.6
7,YDL003W,1701,2.0,1.176,52.845
8,YNL123W,2994,1.0,0.33399999999999996,15.012
9,YJL208C,990,0.0,0.0,0.0
10,YHR179W,1203,11.0,9.144,410.967
11,YPL171C,1203,0.0,0.0,0.0
12,YBL030C,957,1.0,1.045,46.964
13,YNL055C,852,7.0,8.216000000000001,369.265
14,YPL123C,1305,0.0,0.0,0.0
15,YIL016W,480,4.0,8.333,374.54
16,YJR009C,999,39.704,39.744,1786.2879999999998
17,YGR192C,999,126.37799999999999,126.50399999999999,5685.7119999999995
18,YOR297C,579,5.0,8.636000000000001,388.125
19,YMR074C,438,4.0,9.132,410.455
20,YDR326C,4317,0.0,0.0,0.0
21,YBL055C,1257,0.0,0.0,0.0
22,YIL097W,1551,0.0,0.0,0.0
23,YMR095C,675,0.0,0.0,0.0
24,YLR150W,822,4.0,4.8660000000000005,218.71
25,YML120C,1542,0.0,0.0,0.0
26,YHL007C,2820,0.0,0.0,0.0
27,YPR048W,1872,1.0,0.534,24.009
28,YDR113C,1122,0.0,0.0,0.0
29,YLL001W,2274,0.0,0.0,0.0
30,YJL112W,2145,1.0,0.466,20.953000000000003
31,YOR043W,1461,0.0,0.0,0.0
32,YKR036C,1932,0.0,0.0,0.0
33,YOL149W,696,0.0,0.0,0.0
34,YNL118C,2913,1.0,0.34299999999999997,15.429
35,YJL124C,519,3.0,5.78,259.797
36,YER112W,564,2.0,3.5460000000000003,159.379
37,YER110C,3342,1.0,0.299,13.448
38,YDL042C,1689,1.0,0.5920000000000001,26.61
39,YPL116W,2094,1.0,0.478,21.464000000000002
40,YHR155W,3687,1.0,0.271,12.19
41,YOL002C,954,0.0,0.0,0.0
42,YKL056C,504,69.0,136.905,6153.164000000001
43,YNL098C,969,3.0,3.096,139.148
44,YDL126C,2508,10.0,3.987,179.206
45,YJL194W,1542,1.0,0.649,29.147
46,YNL186W,2379,2.0,0.841,37.785
47,YER019W,1434,1.0,0.6970000000000001,31.342
48,YFL010C,636,1.0,1.5719999999999998,70.668
49,YNL305C,894,1.0,1.119,50.273999999999994
50,YGL160W,1713,0.0,0.0,0.0
