,Gene,SeqLen,Count,Count/Kb,FPKM
0,YAL068C,363,33.569,92.477,8.5
1,YAL067W-A,228,28.289,124.07700000000001,11.405
2,YAL067C,1782,40.0,22.447,2.063
3,YAL065C,387,107.208,277.024,25.463
4,YAL064W-B,381,181.47799999999998,476.319,43.782
5,YAL064C-A,381,15.017000000000001,39.415,3.623
6,YAL064W,285,15.0,52.632,4.838
7,YAL063C-A,291,13.0,44.674,4.106
8,YAL063C,3969,1899.162,478.499,43.982
9,YAL062W,1374,160.069,116.49799999999999,10.708
10,YAL061W,1254,97.0,77.352,7.11
11,YAL060W,1149,3034.0,2640.5570000000002,242.713
12,YAL059W,639,549.0,859.155,78.971
13,YAL058W,1509,784.0,519.549,47.756
14,YAL056W,2643,656.0,248.203,22.814
15,YAL055W,543,161.0,296.501,27.254
16,YAL054C,2142,144.0,67.227,6.178999999999999
17,YAL053W,2352,1973.0,838.8610000000001,77.10600000000001
18,YAL051W,3144,518.0,164.75799999999998,15.144
19,YAL049C,741,1871.0,2524.966,232.088
20,YAL048C,1989,286.0,143.791,13.217
21,YAL047C,1869,158.0,84.537,7.77
22,YAL046C,357,272.0,761.905,70.032
23,YAL044W-A,333,458.0,1375.375,126.421
24,YAL044C,513,2186.0,4261.209,391.67900000000003
25,YAL043C,2358,669.0,283.715,26.078000000000003
26,YAL042W,1248,5226.0,4187.5,384.904
27,YAL041W,2565,777.0,302.92400000000004,27.844
28,YAL040C,1743,327.0,187.608,17.244
29,YAL039C,810,485.0,598.765,55.037
30,YAL038W,1503,41490.0,27604.79,2537.362
31,YAL037C-A,93,170.0,1827.957,168.021
32,YAL037W,804,58.0,72.139,6.631
33,YAL036C,1110,1936.0,1744.144,160.317
34,YAL035W,3009,3227.0,1072.4489999999998,98.57700000000001
35,YAL034W-A,870,282.0,324.138,29.794
36,YAL034C,1242,211.0,169.887,15.616
37,YAL033W,522,495.0,948.2760000000001,87.163
38,YAL032C,1140,475.0,416.667,38.299
39,YAL031C,2283,357.0,156.373,14.373
40,YAL030W,354,616.0,1740.1129999999998,159.947
41,YAL029C,4416,1575.0,356.658,32.783
42,YAL028W,1587,266.0,167.612,15.405999999999999
43,YAL027W,786,354.0,450.38199999999995,41.398
44,YAL026C,4068,1497.0,367.994,33.825
45,YAL025C,921,1037.0,1125.95,103.494
46,YAL024C,4308,304.0,70.566,6.486000000000001
47,YAL023C,2280,5499.0,2411.842,221.69
48,YAL022C,1554,1167.0,750.965,69.027
49,YAL021C,2514,724.0,287.987,26.471
50,YAL020C,1002,495.0,494.01199999999994,45.408
51,YAL019W,3396,1201.0,353.651,32.507
52,YAL018C,978,2.0,2.045,0.188
53,YAL017W,4071,956.0,234.832,21.585
54,YAL016W,1908,3540.0,1855.346,170.53900000000002
55,YAL015C,1200,708.0,590.0,54.231
56,YAL014C,768,733.0,954.427,87.728
57,YAL013W,1218,457.0,375.205,34.488
58,YAL012W,1185,3679.0,3104.6409999999996,285.371
59,YAL011W,1878,298.0,158.679,14.585
60,YAL010C,1482,451.0,304.318,27.971999999999998
61,YAL009W,780,674.0,864.1030000000001,79.426
62,YAL008W,597,397.0,664.992,61.123999999999995
63,YAL007C,648,6267.0,9671.296,888.961
64,YAL005C,1929,1723.785,893.6160000000001,82.139
65,YAL003W,621,12009.0,19338.164,1777.515
66,YAL002W,3825,460.0,120.26100000000001,11.054
67,YAL001C,3483,963.0,276.486,25.414
68,YAR002W,1620,1155.0,712.9630000000001,65.53399999999999
69,YAR002C-A,660,8350.0,12651.515,1162.895
70,YAR003W,1281,2567.0,2003.9029999999998,184.19400000000002
71,YAR007C,1866,1393.0,746.5169999999999,68.618
72,YAR008W,828,297.0,358.69599999999997,32.97
73,YAR009C,3591,146.692,40.85,3.755
74,YAR010C,1323,0.574,0.434,0.04
75,YAR014C,2130,929.0,436.15,40.09
76,YAR015W,921,769.0,834.962,76.748
77,YAR018C,1308,149.0,113.914,10.470999999999998
78,YAR019C,2925,220.0,75.214,6.912999999999999
79,YAR020C,168,14.142000000000001,84.179,7.737
80,YAR023C,540,147.0,272.222,25.022
81,YAR027W,708,1899.045,2682.268,246.547
82,YAR028W,705,579.018,821.303,75.492
83,YAR029W,225,78.0,346.667,31.865
84,YAR031W,897,53.506,59.65,5.483
85,YAR033W,705,170.06900000000002,241.232,22.173000000000002
86,YAR035W,2064,25.0,12.112,1.113
87,YAR035C-A,81,0.0,0.0,0.0
88,YAR042W,3567,510.0,142.977,13.142000000000001
89,YAR050W,4614,1164.335,252.34799999999998,23.195
90,YAR064W,300,3.0,10.0,0.919
91,YAR066W,612,111.305,181.872,16.717
92,YAR068W,486,1323.783,2723.8320000000003,250.368
93,YAR071W,1404,57.778,41.153,3.783
94,YBL113C,2379,281.823,118.463,10.889000000000001
95,YBL112C,318,2.76,8.679,0.7979999999999999
96,YBL111C,2004,10.59,5.284,0.486
97,YBL108C-A,129,0.021,0.165,0.015
98,YBL107C,591,629.0,1064.298,97.82799999999999
99,YBL106C,3033,466.0,153.643,14.122
